minTotal value	# of included sequences	% of included sequences
0	355,312	100.00000
1	355,312	100.00000
2	41,726	11.74348
3	9,730	2.73844
4	4,995	1.40581
5	3,099	0.87219
6	2,151	0.60538
7	1,585	0.44609
8	1,220	0.34336
9	975	0.27441
10	803	0.22600
11	657	0.18491
12	557	0.15676
13	476	0.13397
14	416	0.11708
15	368	0.10357
16	320	0.09006
17	285	0.08021
18	248	0.06980
19	230	0.06473
20	216	0.06079
21	199	0.05601
22	188	0.05291
23	169	0.04756
24	159	0.04475
25	144	0.04053
26	137	0.03856
27	127	0.03574
28	120	0.03377
29	115	0.03237
30	112	0.03152
31	103	0.02899
32	97	0.02730
33	94	0.02646
34	91	0.02561
35	91	0.02561
36	89	0.02505
37	86	0.02420
38	83	0.02336
39	83	0.02336
40	81	0.02280
41	76	0.02139
42	73	0.02055
43	71	0.01998
44	71	0.01998
45	68	0.01914
46	67	0.01886
47	66	0.01858
48	66	0.01858
49	63	0.01773
50	62	0.01745
51	61	0.01717
52	59	0.01661
53	58	0.01632
54	55	0.01548
55	55	0.01548
56	53	0.01492
57	52	0.01464
58	51	0.01435
59	48	0.01351
60	48	0.01351
61	48	0.01351
62	47	0.01323
63	46	0.01295
64	46	0.01295
65	46	0.01295
66	46	0.01295
67	46	0.01295
68	46	0.01295
69	45	0.01266
70	45	0.01266
71	45	0.01266
72	45	0.01266
73	45	0.01266
74	45	0.01266
75	44	0.01238
76	44	0.01238
77	44	0.01238
78	43	0.01210
79	43	0.01210
80	42	0.01182
81	41	0.01154
82	41	0.01154
83	41	0.01154
84	40	0.01126
85	40	0.01126
86	39	0.01098
87	38	0.01069
88	37	0.01041
89	37	0.01041
90	37	0.01041
91	37	0.01041
92	36	0.01013
93	35	0.00985
94	34	0.00957
95	33	0.00929
96	33	0.00929
97	33	0.00929
98	32	0.00901
99	32	0.00901
100	31	0.00872
101	31	0.00872
102	31	0.00872
103	31	0.00872
104	31	0.00872
105	31	0.00872
106	31	0.00872
107	31	0.00872
108	31	0.00872
109	30	0.00844
110	30	0.00844
111	30	0.00844
112	30	0.00844
113	29	0.00816
114	29	0.00816
115	29	0.00816
116	29	0.00816
117	29	0.00816
118	29	0.00816
119	29	0.00816
120	27	0.00760
121	26	0.00732
122	26	0.00732
123	26	0.00732
124	26	0.00732
125	26	0.00732
126	26	0.00732
127	25	0.00704
128	25	0.00704
129	25	0.00704
130	25	0.00704
131	25	0.00704
132	25	0.00704
133	25	0.00704
134	24	0.00675
135	23	0.00647
136	23	0.00647
137	23	0.00647
138	23	0.00647
139	23	0.00647
140	23	0.00647
141	23	0.00647
142	23	0.00647
143	23	0.00647
144	23	0.00647
145	23	0.00647
146	23	0.00647
147	23	0.00647
148	23	0.00647
149	23	0.00647
150	23	0.00647
151	23	0.00647
152	23	0.00647
153	23	0.00647
154	23	0.00647
155	23	0.00647
156	23	0.00647
157	23	0.00647
158	23	0.00647
159	23	0.00647
160	23	0.00647
161	23	0.00647
162	23	0.00647
163	22	0.00619
164	22	0.00619
